run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
19/11/2018 17:22,201809,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,S,90,0,0,0.000000,18.888889,46.666667,18.888889,11.111111,4.444444,0.000000,0.000000,0.000000,0.000000,0.000000,15.933333,0,0.000000,0.000000
19/11/2018 17:22,201809,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,S,382,0,2,5.989583,56.770833,26.822917,5.729167,2.343750,1.562500,0.260417,0.000000,0.000000,0.000000,0.520833,5.479058,424,77.358491,11.183962
19/11/2018 17:22,201809,ABERDEEN,UNITED KINGDOM,HEATHROW,FLYBE LTD,S,159,0,1,23.125000,40.625000,24.375000,3.125000,3.125000,3.125000,0.625000,1.250000,0.000000,0.000000,0.625000,9.572327,150,78.000000,13.380000
19/11/2018 17:22,201809,ABERDEEN,UNITED KINGDOM,LONDON CITY,FLYBE LTD,S,79,0,20,8.080808,21.212121,35.353535,10.101010,0.000000,3.030303,2.020202,0.000000,0.000000,0.000000,20.202020,11.683544,96,89.583333,12.125000
19/11/2018 17:22,201809,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET AIRLINE COMPANY LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50,74.000000,16.820000
19/11/2018 17:22,201809,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,S,50,0,0,0.000000,22.000000,48.000000,14.000000,8.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.760000,0,0.000000,0.000000
19/11/2018 17:22,201809,ABERDEEN,UNITED KINGDOM,LOSSIEMOUTH,EASTERN AIRWAYS,S,1,0,0,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000
19/11/2018 17:22,201809,ABERDEEN,UNITED KINGDOM,MANCHESTER,FLYBE LTD,S,307,0,3,1.935484,44.838710,35.161290,5.806452,6.774194,2.903226,1.612903,0.000000,0.000000,0.000000,0.967742,10.576547,300,62.000000,22.983333
19/11/2018 17:22,201809,ABERDEEN,UNITED KINGDOM,NEWCASTLE,EASTERN AIRWAYS,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,82,81.707317,12.560976
19/11/2018 17:22,201809,ABERDEEN,UNITED KINGDOM,NEWCASTLE,FLYBE LTD,S,69,0,28,4.123711,23.711340,14.432990,7.216495,8.247423,9.278351,3.092784,1.030928,0.000000,0.000000,28.865979,29.884058,0,0.000000,0.000000
19/11/2018 17:22,201809,ABERDEEN,UNITED KINGDOM,NEWQUAY,FLYBE LTD,S,2,0,0,0.000000,0.000000,50.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.500000,2,50.000000,10.500000
19/11/2018 17:22,201809,ABERDEEN,UNITED KINGDOM,NORWICH,BMI REGIONAL,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,92,83.695652,9.673913
